Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13
key;enus;ruru;dede;eses;esmx;frfr;itit;kokr;plpl;ptbr;zhcn;zhtw
Button/Name/10SlotBag;10 Slot Bag;Сумка на 10 ячеек;Tasche mit 10 Plätzen;Bolsa de 10 ranuras;Bolsa de 10 compartimientos;Sac à 10 emplacements;Borsa da 10 scomparti;10칸 가방;Torba z 10 miejscami;Bolsa com 10 divisões;10格包;10格背包
Button/Name/12SlotBag;12 Slot Bag;Сумка на 12 ячеек;Tasche mit 12 Plätzen;Bolsa de 12 ranuras;Bolsa de 12 compartimientos;Sac à 12 emplacements;Borsa da 12 scomparti;12칸 가방;Torba z 12 miejscami;Bolsa com 12 divisões;12格包;12格背包
Button/Name/14SlotBag;14 Slot Bag;Сумка на 14 ячеек;Tasche mit 14 Plätzen;Bolsa de 14 ranuras;Bolsa de 14 compartimientos;Sac à 14 emplacements;Borsa da 14 scomparti;14칸 가방;Torba z 14 miejscami;Bolsa com 14 divisões;14格包;14格背包
Button/Name/16SlotBag;16 Slot Bag;Сумка на 16 ячеек;Tasche mit 16 Plätzen;Bolsa de 16 ranuras;Bolsa de 16 compartimientos;Sac à 16 emplacements;Borsa da 16 scomparti;16칸 가방;Torba z 16 miejscami;Bolsa com 16 divisões;16格包;16格背包
Button/Name/18SlotBag;18 Slot Bag;Сумка на 18 ячеек;Tasche mit 18 Plätzen;Bolsa de 18 ranuras;Bolsa de 18 compartimientos;Sac à 18 emplacements;Borsa da 18 scomparti;18칸 가방;Torba z 18 miejscami;Bolsa com 18 divisões;18格包;18格背包
Button/Name/20SlotBag;20 Slot Bag;Сумка на 20 ячеек;Tasche mit 20 Plätzen;Bolsa de 20 ranuras;Bolsa de 20 compartimientos;Sac à 20 emplacements;Borsa da 20 scomparti;20칸 가방;Torba z 20 miejscami;Bolsa com 20 divisões;20格包;20格背包
Button/Name/22SlotBag;22 Slot Bag;Сумка на 22 ячейки;Tasche mit 22 Plätzen;Bolsa de 22 ranuras;Bolsa de 22 compartimientos;Sac à 22 emplacements;Borsa da 22 scomparti;22칸 가방;Torba z 22 miejscami;Bolsa com 22 divisões;22格包;22格背包
Button/Name/24SlotBag;24 Slot Bag;Сумка на 24 ячейки;Tasche mit 24 Plätzen;Bolsa de 24 ranuras;Bolsa de 24 compartimientos;Sac à 24 emplacements;Borsa da 24 scomparti;24칸 가방;Torba z 24 miejscami;Bolsa com 24 divisões;24格包;24格背包
Button/Name/250mmStrikeCannons;250mm Strike Cannons;250-мм орудия;250mm-Donnerkanonen;Cañones de ataque de 250 mm;Cañones de asalto de 250mm;Canons d’attaque 250 mm;Cannoni d'assalto da 250mm;250mm 타격포;Działa uderzeniowe 250 mm;Canhões de assalto de 250 mm;250毫米口径歼敌炮;250毫米突擊砲
Button/Name/330mmBarrageCannonLocked;330mm Barrage Cannon;330-мм орудие;330mm-Sperrfeuerkanone;Cañón de descarga de 330 mm;Cañón de andanada de 330 mm;Canon à tir de barrage 330 mm;Cannone da sbarramento da 330mm;330mm 연발포;Działa zaporowe 330 mm;Canhão Barragem de 330 mm;330毫米口径弹幕火炮;330毫米彈幕加農砲
Button/Name/330mmBarrageCannons;330mm Barrage Cannon | 330mm Barrage Cannons;330-мм орудие | 330-мм орудия;330mm-Sperrfeuerkanone;Cañones de descarga de 330 mm | Cañón de descarga de 330 mm;Cañones de andanada de 330 mm | Cañón de andanada de 330 mm;Canon à tir de barrage 330 mm | Canon à tirs de barrage 330 mm;Cannone da sbarramento da 330mm | Cannoni da sbarramento da 330mm;330mm 연발포;Działa zaporowe 330 mm | Działo zaporowe 330 mm;Canhão Barragem de 330 mm;330毫米口径弹幕火炮;330毫米彈幕加農砲
Button/Name/4SlotBag;4 Slot Bag;Сумка на 4 ячейки;Tasche mit 4 Plätzen;Bolsa de 4 ranuras;Bolsa de 4 compartimientos;Sac à 4 emplacements;Borsa da 4 scomparti;4칸 가방;Torba z 4 miejscami;Bolsa com 4 divisões;4格包;4格背包
Button/Name/6SlotBag;6 Slot Bag;Сумка на 6 ячеек;Tasche mit 6 Plätzen;Bolsa de 6 ranuras;Bolsa de 6 compartimientos;Sac à 6 emplacements;Borsa da 6 scomparti;6칸 가방;Torba z 6 miejscami;Bolsa com 6 divisões;6格包;6格背包
Button/Name/8SlotBag;8 Slot Bag;Сумка на 8 ячеек;Tasche mit 8 Plätzen;Bolsa de 8 ranuras;Bolsa de 8 compartimientos;Sac à 8 emplacements;Borsa da 8 scomparti;8칸 가방;Torba z 8 miejscami;Bolsa com 8 divisões;8格包;8格背包
Button/Name/ACAlarakPhasingMode;Phasing Mode;Фазовый режим;Phasenmodus;Modo fase;Modo fásico;Mode Phasique;Assetto fasico;위상 모드;Tryb fazowania;Modo Fásico;相位模式;相位模式
Button/Name/ACAlarakTransportMode;Transport Mode;Режим транспортировки;Transportmodus;Modo transporte;Modo de transporte;Mode Transport;Assetto mobile;수송 모드;Tryb transportowy;Modo Transporte;运输模式;運輸模式
Button/Name/ACPirateBombingRun;Bombing Run;Бомбометание;Bomberangriff;Bombardeo;Bombardeo;Raid aérien;Bombardamento a tappeto;폭격 비행;Nalot bombowy;Passagem de Bombardeio;轰炸;出動轟炸
Button/Name/ACPirateCapitalShipTractorBeam;Tractor Beam;Притягивающий луч;Traktorstrahl;Haz tractor;Rayo tractor;Rayon tracteur;Raggio traente;유인 광선;Wiązka przyciągająca;Raio de Tração;牵引光束;牽引光束
Button/Name/ACPirateLightningStorm;Shock Blast;Шоковый удар;Schockwelle;Explosión de choque;Explosión de choque;Horion explosif;Esplosione folgorante;충격 작렬;Porażający wybuch;Impacto de Concussão;震爆;震爆
Button/Name/AStrongHeart;A Strong Heart;Принятие себя;Ein starkes Herz;Un corazón fuerte;Corazón valiente;Une âme forte;Un grande cuore;강인한 심장;Silne Serce;Um coração forte;勇敢的心;堅強的心靈
Button/Name/AbathurBrutaliskLeviathanSymbiote;Symbiote;Симбионт;Symbiont;Simbionte;Simbionte;Symbiote;Simbionte;공생체;Symbiont;Simbionte;共生体;共生體
Button/Name/AbathurDeepTunnel;Deep Tunnel;Глубинный тоннель;Tiefentunnel;Túnel profundo;Túnel profundo;Tunnel profond;Rintanamento profondo;굴 파기;Głęboki przekop;Túnel Profundo;深槽虫道;深度挖掘
Button/Name/AbathurGenerateCreep;Generate Creep;Выработка слизи;Kriechererzeugung;Generar biomateria;Generar talo;Générer du mucus;Genera biostrato;점막 생성;Wydzielanie Biomasy;Gerar Gosma;排放菌毯;產生蟲苔
Button/Name/AbathurMend;Mend;Излечение;Heilen;Curar;Remendar;Guérison;Rimarginazione;치유;Leczenie;Restaurar;愈合;療癒
